page	task	sample	Number of organisations	Number of attachments	Largest attachment	Total size	Number of updates	Number of downloads
employment-and-support-allowance-permitted-work-form		not	0.01	0.01	0.00934372	0.00934372	0.01	0.00000000
employment-intermediaries-report-template		not	0.01	0.01	0.00085955	0.00085955	0.06	0.00000000
employment-particulars-written-statement-form		not	0.01	0.02	0.05068388	0.08662777	0.01	0.00000000
end-of-waste-submission-forms		not	0.01	0.04	0.07045021	0.22088499	0.01	0.00000000
end-user-undertaking-euu-form		not	0.02	0.02	0.01197901	0.02274389	0.02	0.00000000
endangered-species-application-for-a-waiver-from-paying-permit-fees		not	0.01	0.03	0.03184185	0.06852903	0.02	0.00000000
endangered-species-application-for-commercial-use		not	0.01	0.03	0.05782585	0.06965599	0.02	0.00000000
endangered-species-application-for-import-and-export-permit		not	0.01	0.03	0.05809393	0.08370123	0.02	0.00000000
endangered-species-application-to-move-from-a-permitted-address		not	0.01	0.06	0.05725403	0.18046608	0.02	0.00000000
endangered-species-declaration-of-a-gift-or-loan		not	0.01	0.01	0.00911646	0.00911646	0.02	0.00000000
energy-intensive-industries-in-the-uk-maintaining-international-competitiveness-compensation-for-the-indirect-costs-of-eu-ets-and-carbon-price-support-consultation-on-scheme-eligibility-and-design-response-form		not	0.01	0.01	0.14721727	0.14721727	0.01	0.00000000
energy-storage-application-form-for-component-research-and-feasibility-study-support-scheme		not	0.01	0.02	0.05431070	0.09646273	0.01	0.00000000
energy-storage-technology-demonstration-competition-application-form		not	0.01	0.02	0.05992193	0.09974413	0.01	0.00000000
energy-technology-list-etl-new-technology-proposal-form		not	0.01	0.01	0.00745211	0.00745211	0.01	0.00000000
enforcement-undertaking-offer-form		not	0.01	0.02	0.11985388	0.20903034	0.02	0.00000000
english-housing-survey-2008-to-2009-market-value-survey-questionnaire		not	0.01	0.01	0.10877390	0.10877390	0.01	0.00000000
english-housing-survey-2011-to-2012-questionnaire-and-physical-survey-form		not	0.01	0.02	0.30321503	0.46825008	0.01	0.00000000
english-housing-survey-2012-to-2013-questionnaire-and-physical-survey-form		not	0.01	0.02	0.31808605	0.49536591	0.01	0.00000000
english-housing-survey-2013-to-2014-questionnaire-and-physical-survey-form		not	0.01	0.02	0.35376215	0.53870449	0.01	0.00000000
english-housing-survey-2014-to-2015-questionnaire-and-physical-survey-form		not	0.01	0.02	0.57318525	1.06817122	0.01	0.00000000
english-housing-survey-2015-to-2016-questionnaire-and-physical-survey-form		not	0.01	0.02	0.53515129	1.00258942	0.01	0.00000000
english-scholarship-british-week-2015		not	0.01	0.01	0.00704098	0.00704098	0.01	0.00000000
enter-a-restriction-registration-rx1		not	0.01	0.02	0.05484276	0.06637678	0.03	0.00000000
enteric-virus-and-polio-investigation-referral-form		not	0.01	0.01	0.05766592	0.05766592	0.01	0.00000000
enterprise-investment-scheme-advance-assurance-application-eisseisaa		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
enterprise-investment-scheme-compliance-statement-eis1		not	0.01	0.0	0.00000000	0.00000000	0.03	0.00000000
environment-agency-international-visit-request-form		not	0.01	0.01	0.02739592	0.02739592	0.01	0.00000000
environment-agency-waterways-change-of-ownership-or-address-form		not	0.01	0.01	0.08061361	0.08061361	0.01	0.00000000
environmental-impact-assessment-screening-checklist		not	0.01	0.02	0.02597742	0.03320227	0.01	0.00000000
environmental-permit-appeal-form		not	0.01	0.02	0.04547997	0.08692760	0.03	0.00000000
environmental-permit-nature-and-heritage-conservation-screening		not	0.01	0.0	0.00000000	0.00000000	0.03	0.00000000
environmental-permitting-h5-site-condition-report		not	0.01	0.02	0.02905741	0.03442402	0.01	0.00000000
environmental-stewardship-agent-authorisation		not	0.01	0.01	0.01030779	0.01030779	0.03	0.00000000
environmental-stewardship-livestock-record-keeping		not	0.01	0.03	0.03768415	0.06054068	0.01	0.00000000
environmental-stewardship-shared-grazing-and-common-land		not	0.01	0.01	0.00748482	0.00748482	0.01	0.00000000
environmental-stewardship-supplementary-land-ownership-and-control		not	0.01	0.01	0.00990705	0.00990705	0.01	0.00000000
esa113-interactive-for-use-by-healthcare-practitioners		not	0.01	0.01	0.01793556	0.01793556	0.02	0.00000000
escape-fee-case-claim-forms		not	0.01	0.07	0.04264059	0.16134825	0.03	0.00000000
escherichia-coli-bacteraemia-surveillance-form		not	0.01	0.01	0.06203403	0.06203403	0.01	0.00000000
esid-report-template		not	0.01	0.01	0.01474724	0.01474724	0.01	0.00000000
establishment-licence-application-form		not	0.01	0.01	0.01489878	0.01489878	0.01	0.00000000
establishment-licence-standard-conditions		not	0.01	0.01	0.00929375	0.00929375	0.01	0.00000000
etl-application-checklist-active-chilled-beams		not	0.01	0.01	0.12892017	0.12892017	0.02	0.00000000
etl-application-checklist-air-cooled-condensing-units		not	0.01	0.01	0.04149818	0.04149818	0.02	0.00000000
etl-application-checklist-air-source-air-to-water		not	0.01	0.01	0.07010965	0.07010965	0.03	0.00000000
etl-application-checklist-air-source-gas-engine-driven-incl-vrf		not	0.01	0.01	0.06049261	0.06049261	0.01	0.00000000
etl-application-checklist-air-source-packaged		not	0.01	0.01	0.03667774	0.03667774	0.02	0.00000000
etl-application-checklist-air-source-split-and-multisplit-incl-vrf		not	0.01	0.01	0.07411127	0.07411127	0.01	0.00000000
etl-application-checklist-air-to-air-energy-recovery		not	0.01	0.01	0.03799210	0.03799210	0.02	0.00000000
etl-application-checklist-biomass-fired-warm-air-heaters		not	0.01	0.01	0.05960112	0.05960112	0.01	0.00000000
etl-application-checklist-building-environment-zone-controls		not	0.01	0.01	0.11376553	0.11376553	0.01	0.00000000
etl-application-checklist-burners-with-controls		not	0.01	0.01	0.06469860	0.06469860	0.01	0.00000000
etl-application-checklist-cellar-cooling-equipment		not	0.01	0.01	0.04742451	0.04742451	0.03	0.00000000
etl-application-checklist-co2-heat-pumps-for-domestic-hot-water		not	0.01	0.01	0.04393187	0.04393187	0.03	0.00000000
etl-application-checklist-compressed-air-equipment-master-controllers		not	0.01	0.01	0.05074234	0.05074234	0.01	0.00000000
etl-application-checklist-compressors		not	0.01	0.01	0.03785067	0.03785067	0.02	0.00000000
etl-application-checklist-condensate-pumping-equipment		not	0.01	0.01	0.02445889	0.02445889	0.01	0.00000000
etl-application-checklist-condensing-economisers		not	0.01	0.01	0.05630808	0.05630808	0.01	0.00000000
etl-application-checklist-curtains-blinds-cabinet-covers		not	0.01	0.01	0.03050976	0.03050976	0.03	0.00000000
etl-application-checklist-dehumidifiers		not	0.01	0.01	0.05065422	0.05065422	0.01	0.00000000
etl-application-checklist-desiccant-air-dryers		not	0.01	0.01	0.05847025	0.05847025	0.01	0.00000000
etl-application-checklist-evaporative-condensers		not	0.01	0.01	0.03589239	0.03589239	0.02	0.00000000
etl-application-checklist-flow-controllers		not	0.01	0.01	0.04801474	0.04801474	0.01	0.00000000
etl-application-checklist-flue-gas-economisers		not	0.01	0.01	0.05543327	0.05543327	0.01	0.00000000
etl-application-checklist-gas-fired-condensing-water-heaters		not	0.01	0.01	0.05385275	0.05385275	0.02	0.00000000
etl-application-checklist-ground-source-brine-to-water		not	0.01	0.01	0.03951168	0.03951168	0.03	0.00000000
etl-application-checklist-heat-pump-driven-air-curtains		not	0.01	0.01	0.03963623	0.03963623	0.02	0.00000000
etl-application-checklist-heat-recovery-from-condensate-and-boiler-blowdown		not	0.01	0.01	0.04579821	0.04579821	0.01	0.00000000
etl-application-checklist-heating-management-controllers		not	0.01	0.01	0.05378494	0.05378494	0.01	0.00000000
etl-application-checklist-high-speed-hand-air-dryers		not	0.01	0.01	0.03372574	0.03372574	0.01	0.00000000
etl-application-checklist-hot-water-boilers		not	0.01	0.01	0.05398817	0.05398817	0.02	0.00000000
etl-application-checklist-hvac-close-control-air-conditioning		not	0.01	0.01	0.03876829	0.03876829	0.03	0.00000000
etl-application-checklist-localised-rapid-steam-generators		not	0.01	0.01	0.05947638	0.05947638	0.01	0.00000000
etl-application-checklist-packaged-chillers-eseer		not	0.01	0.01	0.03502541	0.03502541	0.01	0.00000000
etl-application-checklist-permanent-magnet-synchronous-motors		not	0.01	0.01	0.04663038	0.04663038	0.03	0.00000000
etl-application-checklist-portable-energy-monitoring-equipment		not	0.01	0.01	0.04664326	0.04664326	0.01	0.00000000
etl-application-checklist-radiant-heating		not	0.01	0.01	0.05753222	0.05753222	0.01	0.00000000
etl-application-checklist-refrigerant-leak-detection-systems		not	0.01	0.01	0.04290705	0.04290705	0.02	0.00000000
etl-application-checklist-refrigerated-air-dryers		not	0.01	0.01	0.05917540	0.05917540	0.01	0.00000000
etl-application-checklist-refrigerated-display-cabinets		not	0.01	0.01	0.04319267	0.04319267	0.03	0.00000000
etl-application-checklist-refrigerated-storage-cabinets		not	0.01	0.01	0.06947412	0.06947412	0.02	0.00000000
etl-application-checklist-refrigeration-system-controls		not	0.01	0.01	0.04511747	0.04511747	0.02	0.00000000
etl-application-checklist-retrofit-burner-control-systems		not	0.01	0.01	0.05188370	0.05188370	0.01	0.00000000
etl-application-checklist-single-speed-ac-induction-motors		not	0.01	0.01	0.06390409	0.06390409	0.02	0.00000000
etl-application-checklist-solar-thermal-systems-and-collectors		not	0.01	0.01	0.05949707	0.05949707	0.01	0.00000000
etl-application-checklist-steam-boilers		not	0.01	0.01	0.05532160	0.05532160	0.01	0.00000000
etl-application-checklist-uninterruptible-power-supplies		not	0.01	0.01	0.08683119	0.08683119	0.03	0.00000000
etl-application-checklist-variable-speed-drives		not	0.01	0.01	0.03028488	0.03028488	0.01	0.00000000
etl-application-checklist-warm-air-heating		not	0.01	0.01	0.05897665	0.05897665	0.01	0.00000000
etl-application-checklist-water-source-split-and-multi-split		not	0.01	0.01	0.07029085	0.07029085	0.01	0.00000000
eu-emissions-trading-system-compensation-for-indirect-costs-in-2013-to-2014-and-2014-to-2015-guidance		not	0.01	0.04	0.02470675	0.06625738	0.08	0.00000000
eu-youth-wiki-tool-expression-of-interest-form		not	0.01	0.02	0.01455126	0.02124472	0.01	0.00000000
european-directive-on-taxation-of-savings-tax-certificates		not	0.01	0.01	0.00463047	0.00463047	0.01	0.00000000
european-protected-species-apply-for-a-licence-to-possess-them		not	0.01	0.01	0.05976553	0.05976553	0.02	0.00000000
european-protected-species-apply-for-a-mitigation-licence		not	0.01	0.01	0.07433653	0.07433653	0.03	0.00000000
evaluation-of-national-citizen-service-description-of-requirements		not	0.01	0.01	0.01076202	0.01076202	0.01	0.00000000
evidence-project-final-report		not	0.01	0.01	0.01250095	0.01250095	0.02	0.00000000
example-certificate-of-no-impediment-cni		not	0.01	0.01	0.03412867	0.03412867	0.01	0.00000000
excise-application-for-an-excise-trade-licence-l5		not	0.01	0.0	0.00000000	0.00000000	0.04	0.00000000
excise-claim-for-drawback-of-duty-paid-on-oils-used-as-fuel-on-foreign-going-aircraft-ho60		not	0.01	0.0	0.00000000	0.00000000	0.02	0.00000000
excise-entry-incorporated-company-ex103a		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
excise-entry-private-trader-ex103		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
excise-movements-about-the-partners-excise-102		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
excise-movements-application-to-be-a-registered-consignor-ex72		not	0.01	0.0	0.00000000	0.00000000	0.02	0.00000000
excise-movements-application-to-be-a-tax-representative-hm9		not	0.01	0.0	0.00000000	0.00000000	0.02	0.00000000
excise-movements-application-to-be-part-of-the-registered-consignee-scheme-hm1		not	0.01	0.0	0.00000000	0.00000000	0.02	0.00000000
excise-movements-application-to-register-as-a-registered-commercial-importer-hm3		not	0.01	0.0	0.00000000	0.00000000	0.06	0.00000000
excise-movements-application-to-register-for-the-temporary-registered-consignee-scheme-trc1		not	0.01	0.0	0.00000000	0.00000000	0.04	0.00000000
excise-movements-authority-to-use-another-traders-deferment-approval-number-hm8		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
excise-movements-claim-for-repayment-of-excise-duty-hm6		not	0.01	0.0	0.00000000	0.00000000	0.06	0.00000000
excise-movements-excise-duty-return-for-registered-consignees-or-registered-commercial-importers-hm2		not	0.01	0.0	0.00000000	0.00000000	0.02	0.00000000
excise-movements-internal-accompanying-document-products-subject-to-excise-duty-w8		not	0.01	0.01	0.00368299	0.00368299	0.01	0.00000000
excise-movements-notice-of-intention-to-claim-drawback-ex75		not	0.01	0.01	0.02326231	0.02326231	0.02	0.00000000
excise-movements-report-of-vessels-from-a-voyage-for-which-duty-free-stores-were-granted-on-c943-c944		not	0.01	0.01	0.00184546	0.00184546	0.01	0.00000000
excise-movements-request-to-import-excise-goods-bought-duty-paid-in-another-eu-member-state-hm4		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
excise-movements-return-of-excise-duty-for-tax-representatives-hm10		not	0.01	0.0	0.00000000	0.00000000	0.02	0.00000000
excise-payment-security-system-application-to-defer-payment-of-excise-duties-without-a-guarantee-epssa		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
excise-payment-security-system-application-to-make-payments-of-excise-duties-without-a-guarantee-epssb		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
excise-warehousing-application-to-be-a-duty-representative-ex64		not	0.01	0.0	0.00000000	0.00000000	0.02	0.00000000
excise-warehousing-application-to-be-an-excise-warehousekeeper-ex61		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
excise-warehousing-application-to-be-an-owner-of-duty-suspended-goods-held-in-excise-warehouses-ex60		not	0.01	0.01	0.00625782	0.00625782	0.02	0.00000000
excise-warehousing-deferment-advice-for-alcohol-goods-w5d		not	0.01	0.01	0.02290010	0.02290010	0.01	0.00000000
excise-warehousing-excise-warehouse-return-w1		not	0.01	0.02	0.02098055	0.03798428	0.01	0.00000000
excise-warehousing-motor-and-heating-fuels-warehouse-applicationamendment-form-ex70		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
excise-warehousing-remittance-advice-for-alcohol-goods-w5		not	0.01	0.01	0.01915493	0.01915493	0.01	0.00000000
excise-warehousing-schedule-ex71		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
excise-warehousing-storage-and-distribution-warehouse-application-for-approvalamendment-ex68		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
excise-warehousing-stores-list-for-aircraft-inwards-and-entry-for-warehousing-c209		not	0.01	0.01	0.00167313	0.00167313	0.01	0.00000000
excise-warehousing-trade-facility-warehouse-for-alcohol-and-tobacco-ex69		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
exempt-document-official-copy-registration-ex2		not	0.01	0.02	0.03151417	0.04053917	0.02	0.00000000
exempt-information-document-registration-ex1		not	0.01	0.02	0.03835011	0.04785576	0.04	0.00000000
exemption-application-form-msf-1010		not	0.01	0.01	0.02772970	0.02772970	0.01	0.00000000
exemption-from-heavy-goods-vehicle-hgv-annual-testing-v112g		not	0.01	0.01	0.02063932	0.02063932	0.01	0.00000000
exemption-notification-form-for-childcare-providers-that-operate-for-14-days-or-less-in-a-12-month-period		not	0.01	0.01	0.09882517	0.09882517	0.02	0.00000000
exercise-joint-caterer-2011-forms		not	0.01	0.03	0.10685921	0.19105997	0.01	0.00000000
exisiting-unilateral-notice-register-as-a-beneficiary-un3		not	0.01	0.02	0.03497572	0.04477882	0.03	0.00000000
explantory-leaflet-on-the-poultrymeat-regulations-special-marketing-terms		not	0.01	0.01	0.03186445	0.03186445	0.01	0.00000000
export-control-symposium-2017		not	0.02	0.01	0.02589083	0.02589083	0.02	0.00000000
export-control-symposium-better-licence-applications-better-outcomes-19-march-2013-invitation-and-programme		not	0.01	0.01	0.02040091	0.02040091	0.01	0.00000000
export-guidance-for-submissions-december-2009		not	0.01	0.01	0.00445623	0.00445623	0.01	0.00000000
expressions-of-interest-in-carbon-capture-and-storage-delivery-programme		not	0.01	0.01	0.00498333	0.00498333	0.01	0.00000000
failure-to-comply-with-a-negotiated-agreement-make-a-complaint		not	0.01	0.02	0.01856956	0.03636332	0.01	0.00000000
family-friendly-award-competition		not	0.02	0.01	0.00497484	0.00497484	0.01	0.00000000
family-graduated-fee-and-family-advocacy-claim-forms		not	0.01	0.1	0.04893885	0.25552788	0.03	0.00000000
family-origin-questionnaire-sickle-cell-and-thalassaemia-screening		not	0.01	0.01	0.00741262	0.00741262	0.01	0.00000000
family-tree-bangladesh		not	0.01	0.01	0.00956287	0.00956287	0.01	0.00000000
farming-ammonia-reduction-grant-scheme-claim-form-and-offer-terms		not	0.01	0.02	0.01196423	0.02186460	0.01	0.00000000
fco-counter-proliferation-programme-2014-2015-concept-form		not	0.01	0.01	0.00614853	0.00614853	0.01	0.00000000
fco-counter-proliferation-programme-bidding-form		not	0.01	0.01	0.01465836	0.01465836	0.01	0.00000000
fco-strategic-programme-fund-and-bilateral-programme-fund-project-proposal-form-projects-worth-under-10000		not	0.01	0.01	0.01193218	0.01193218	0.01	0.00000000
fco-strategic-programme-fund-project-concept-bid-form		not	0.01	0.01	0.02221994	0.02221994	0.01	0.00000000
fco-strategic-programme-fund-project-concept-form		not	0.01	0.01	0.00614939	0.00614939	0.01	0.00000000
fcrm-partnership-funding-calculator		not	0.01	0.01	0.34996920	0.34996920	0.01	0.00000000
fee-sheet-for-international-trade-mark-applications		not	0.01	0.02	0.04362106	0.06674509	0.03	0.00000000
fee-sheet-for-registered-community-design-applications		not	0.01	0.02	0.04237700	0.06291924	0.03	0.00000000
feedback-form-zoo-inspectorate-performance		not	0.01	0.01	0.00573082	0.00573082	0.01	0.00000000
female-genital-mutilation-application-form		not	0.01	0.01	0.08232021	0.08232021	0.01	0.00000000
fep1-confidential-medical-information		not	0.01	0.01	0.05478783	0.05478783	0.09	0.00000000
fep1v-online-confidential-medical-information		not	0.01	0.01	0.05053225	0.05053225	0.05	0.00000000
